frame,track_id,label,cx,cy,vx,vy,confirmed
2,1,bus,1252.96,560.61,-0.000,-0.000,1
2,2,person,442.25,679.64,-0.000,-0.000,1
2,3,person,380.55,674.25,0.000,0.000,1
2,4,person,394.09,703.36,-0.000,0.000,1
2,5,person,224.32,646.72,-0.000,0.000,1
2,6,person,299.59,654.17,0.000,0.000,1
2,7,person,498.10,635.91,-0.000,0.000,1
2,8,person,593.05,628.01,-0.000,0.000,1
2,9,person,581.83,626.71,-0.000,0.000,1
2,10,person,570.16,627.24,-0.000,0.000,1
2,11,person,346.29,673.19,0.000,0.000,1
2,12,person,286.22,656.53,0.000,0.000,1
2,13,person,254.41,653.90,-0.000,0.000,1
2,14,person,1219.80,504.95,0.000,0.000,1
2,15,person,221.23,614.87,-0.000,-0.000,1
2,18,person,397.45,617.12,-0.000,-0.000,1
2,19,person,556.95,623.21,-0.000,-0.000,1
3,1,bus,1252.89,560.23,-0.000,-0.000,1
3,2,person,441.73,680.52,-0.000,-0.000,1
3,3,person,392.46,679.78,0.000,0.000,1
3,4,person,394.09,703.36,-0.000,0.000,1
3,5,person,224.95,649.32,-0.000,0.000,1
3,6,person,294.37,656.64,-0.000,0.000,1
3,7,person,495.58,634.99,-0.000,0.000,1
3,8,person,594.86,626.92,-0.000,0.000,1
3,9,person,582.73,626.67,-0.000,0.000,1
3,10,person,569.37,625.91,-0.000,0.000,1
3,11,person,344.04,673.45,0.000,0.000,1
3,12,person,286.22,656.53,0.000,0.000,1
3,13,person,252.94,654.65,-0.000,0.000,1
3,14,person,1219.80,504.95,0.000,0.000,1
3,15,person,221.23,614.87,-0.000,-0.000,1
3,18,person,398.25,616.80,-0.000,-0.000,1
3,19,person,557.88,622.33,-0.000,-0.000,1
3,20,person,273.11,657.78,0.000,0.000,1
4,1,bus,1261.31,558.63,0.000,-0.000,1
4,2,person,441.73,680.52,-0.000,-0.000,1
4,3,person,391.88,677.02,0.000,0.000,1
4,4,person,438.46,684.68,0.000,-0.000,1
4,5,person,225.12,651.44,-0.000,0.000,1
4,6,person,292.67,657.18,-0.000,0.000,1
4,7,person,532.39,614.59,0.000,-0.000,1
4,8,person,603.49,627.54,-0.000,0.000,1
4,9,person,592.96,628.22,0.000,0.000,1
4,10,person,568.83,626.02,-0.000,0.000,1
4,11,person,341.40,674.94,0.000,0.000,1
4,12,person,286.22,656.53,0.000,0.000,1
4,13,person,252.73,655.94,-0.000,0.000,1
4,14,person,1219.80,504.95,0.000,0.000,1
4,15,person,221.23,614.87,-0.000,-0.000,1
4,17,person,1237.30,499.61,0.000,0.000,1
4,18,person,393.32,616.11,-0.000,-0.000,1
4,19,person,558.42,623.71,-0.000,-0.000,1
4,20,person,272.56,658.70,0.000,0.000,1
4,22,person,613.89,630.01,0.000,0.000,1
5,1,bus,1261.38,558.63,0.000,-0.000,1
5,2,person,441.73,680.52,-0.000,-0.000,1
5,3,person,391.88,677.02,0.000,0.000,1
5,4,person,438.46,684.68,0.000,-0.000,1
5,5,person,225.12,651.44,-0.000,0.000,1
5,6,person,292.66,657.18,-0.000,0.000,1
5,7,person,532.43,614.48,0.000,-0.000,1
5,8,person,603.39,627.50,-0.000,0.000,1
5,9,person,593.17,628.33,0.000,0.000,1
5,10,person,568.84,626.08,-0.000,0.000,1
5,11,person,341.39,674.94,0.000,0.000,1
5,12,person,286.22,656.53,0.000,0.000,1
5,13,person,252.73,655.94,-0.000,0.000,1
5,14,person,1219.80,504.95,0.000,0.000,1
5,15,person,221.23,614.87,-0.000,-0.000,1
5,16,person,584.32,627.36,0.000,0.000,1
5,17,person,1237.30,499.61,0.000,0.000,1
5,18,person,393.32,616.11,-0.000,-0.000,1
5,19,person,558.32,623.62,-0.000,-0.000,1
5,20,person,272.56,658.70,0.000,0.000,1
5,21,person,140.96,646.05,-0.000,-0.000,1
5,22,person,613.83,629.78,0.000,0.000,1
